MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ BZN|DE-LU,Generation - Solar  [MW] Intraday / BZN|DE-LU,Generation - Solar  [MW] Current / BZN|DE-LU,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Offshore  [MW] Current / BZN|DE-LU,Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Onshore  [MW] Current / BZN|DE-LU
01.01.2020 16:30 - 01.01.2020 16:45,4,5,,3883,3705,,5749,5400,
01.01.2020 16:45 - 01.01.2020 17:00,1,2,,3916,3749,,6015,5687,
01.01.2020 17:00 - 01.01.2020 17:15,0,0,,3949,3799,,6280,5994,
01.01.2020 17:15 - 01.01.2020 17:30,0,0,,3986,3876,,6558,6299,
01.01.2020 17:30 - 01.01.2020 17:45,0,0,,4052,3945,,6840,6602,
01.01.2020 17:45 - 01.01.2020 18:00,0,0,,4088,4025,,7103,6894,
01.01.2020 18:00 - 01.01.2020 18:15,0,0,,4124,4085,,7364,7198,
01.01.2020 18:15 - 01.01.2020 18:30,0,0,,4133,4123,,7631,7477,
01.01.2020 18:30 - 01.01.2020 18:45,0,0,,4137,4157,,7897,7760,
01.01.2020 18:45 - 01.01.2020 19:00,0,0,,4148,4190,,8154,8044,
01.01.2020 19:00 - 01.01.2020 19:15,0,0,,4149,4214,,8392,8281,
01.01.2020 19:15 - 01.01.2020 19:30,0,0,,4112,4176,,8497,8364,
01.01.2020 19:30 - 01.01.2020 19:45,0,0,,4102,4135,,8605,8454,
01.01.2020 19:45 - 01.01.2020 20:00,0,0,,4070,4100,,8711,8528,
01.01.2020 20:00 - 01.01.2020 20:15,0,0,,4042,4067,,8790,8618,
01.01.2020 20:15 - 01.01.2020 20:30,0,0,,4023,4036,,8800,8597,
01.01.2020 20:30 - 01.01.2020 20:45,0,0,,4003,4007,,8809,8575,
01.01.2020 20:45 - 01.01.2020 21:00,0,0,,3983,3977,,8823,8552,
01.01.2020 21:00 - 01.01.2020 21:15,0,0,,3972,3948,,8816,8509,
01.01.2020 21:15 - 01.01.2020 21:30,0,0,,3988,3933,,8761,8448,
01.01.2020 21:30 - 01.01.2020 21:45,0,0,,4009,3919,,8716,8389,
01.01.2020 21:45 - 01.01.2020 22:00,0,0,,4020,3903,,8668,8325,
01.01.2020 22:00 - 01.01.2020 22:15,0,0,,4043,3900,,8612,8240,
01.01.2020 22:15 - 01.01.2020 22:30,0,0,,4108,3914,,8557,8145,
01.01.2020 22:30 - 01.01.2020 22:45,0,0,,4173,3930,,8499,8046,
01.01.2020 22:45 - 01.01.2020 23:00,0,0,,4238,3947,,8446,7954,
01.01.2020 23:00 - 01.01.2020 23:15,0,0,,4302,3972,,8414,7902,
