MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ BZN|DE-LU,Generation - Solar  [MW] Intraday / BZN|DE-LU,Generation - Solar  [MW] Current / BZN|DE-LU,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Offshore  [MW] Current / BZN|DE-LU,Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Onshore  [MW] Current / BZN|DE-LU
02.04.2020 06:00 - 02.04.2020 06:15,0,0,,5320,5236,,11518,9378,
02.04.2020 06:15 - 02.04.2020 06:30,0,0,,5376,5286,,11556,9346,
02.04.2020 06:30 - 02.04.2020 06:45,3,0,,5432,5329,,11584,9292,
02.04.2020 06:45 - 02.04.2020 07:00,56,40,,5488,5368,,11592,9419,
02.04.2020 07:00 - 02.04.2020 07:15,476,364,,5540,5464,,11593,9494,
02.04.2020 07:15 - 02.04.2020 07:30,1064,958,,5603,5586,,11550,9531,
02.04.2020 07:30 - 02.04.2020 07:45,1952,1863,,5668,5748,,11453,9402,
02.04.2020 07:45 - 02.04.2020 08:00,3091,3054,,5727,5809,,11264,9340,
02.04.2020 08:00 - 02.04.2020 08:15,4421,4516,,5783,5887,,11024,9249,
02.04.2020 08:15 - 02.04.2020 08:30,5946,6145,,5852,5942,,10778,9116,
02.04.2020 08:30 - 02.04.2020 08:45,7593,7890,,5910,5991,,10557,9022,
02.04.2020 08:45 - 02.04.2020 09:00,9278,9710,,5970,6045,,10407,8913,
02.04.2020 09:00 - 02.04.2020 09:15,10985,11535,,6020,6090,,10393,8883,
02.04.2020 09:15 - 02.04.2020 09:30,12718,13369,,6037,6138,,10322,8870,
02.04.2020 09:30 - 02.04.2020 09:45,14389,15160,,6076,6186,,10420,8918,
02.04.2020 09:45 - 02.04.2020 10:00,15965,16839,,6109,6229,,10547,8997,
02.04.2020 10:00 - 02.04.2020 10:15,17441,18419,,6117,6274,,10665,9122,
02.04.2020 10:15 - 02.04.2020 10:30,18810,19922,,6144,6373,,10989,9493,
02.04.2020 10:30 - 02.04.2020 10:45,20014,21218,,6164,6418,,11320,9875,
02.04.2020 10:45 - 02.04.2020 11:00,21038,22331,,6182,6471,,11673,10254,
02.04.2020 11:00 - 02.04.2020 11:15,21923,23316,,6201,6166,,12035,10443,
02.04.2020 11:15 - 02.04.2020 11:30,22679,24141,,6213,6186,,12490,10890,
02.04.2020 11:30 - 02.04.2020 11:45,23252,24813,,6227,6173,,12942,11308,
02.04.2020 11:45 - 02.04.2020 12:00,23683,25311,,6239,6192,,13358,11756,
02.04.2020 12:00 - 02.04.2020 12:15,24009,25715,,6242,6205,,13770,12177,
02.04.2020 12:15 - 02.04.2020 12:30,24213,25916,,6214,6211,,14056,12582,
02.04.2020 12:30 - 02.04.2020 12:45,24282,26016,,6218,6215,,14432,12981,
02.04.2020 12:45 - 02.04.2020 13:00,24218,25999,,6219,6219,,14806,13368,
02.04.2020 13:00 - 02.04.2020 13:15,24043,25887,,6217,6224,,15173,13759,
02.04.2020 13:15 - 02.04.2020 13:30,23788,25662,,6220,6200,,15546,14121,
02.04.2020 13:30 - 02.04.2020 13:45,23454,25375,,6212,6196,,15937,14526,
02.04.2020 13:45 - 02.04.2020 14:00,23061,24995,,6155,6199,,16288,14923,
02.04.2020 14:00 - 02.04.2020 14:15,22589,24229,,6116,6198,,16637,15115,
02.04.2020 14:15 - 02.04.2020 14:30,21982,23655,,6115,6193,,17007,15553,
02.04.2020 14:30 - 02.04.2020 14:45,21343,23017,,6079,6191,,17367,16000,
02.04.2020 14:45 - 02.04.2020 15:00,20648,22312,,6078,6189,,17731,16455,
02.04.2020 15:00 - 02.04.2020 15:15,19864,21513,,6075,6188,,18106,16913,
02.04.2020 15:15 - 02.04.2020 15:30,19013,20598,,6077,6189,,18458,17357,
02.04.2020 15:30 - 02.04.2020 15:45,18042,19581,,6077,6187,,18834,17813,
02.04.2020 15:45 - 02.04.2020 16:00,16991,18447,,6075,6188,,19219,18266,
02.04.2020 16:00 - 02.04.2020 16:15,15870,17262,,6075,6193,,19597,18705,
02.04.2020 16:15 - 02.04.2020 16:30,14689,15996,,6074,6189,,19925,19068,
02.04.2020 16:30 - 02.04.2020 16:45,13458,14687,,6072,6190,,20249,19395,
02.04.2020 16:45 - 02.04.2020 17:00,12160,13291,,6074,6183,,20503,19725,
02.04.2020 17:00 - 02.04.2020 17:15,10837,11811,,6072,6179,,20750,20025,
02.04.2020 17:15 - 02.04.2020 17:30,9461,10312,,6094,6206,,20825,20096,
02.04.2020 17:30 - 02.04.2020 17:45,8079,8788,,6099,6213,,20885,20150,
02.04.2020 17:45 - 02.04.2020 18:00,6711,7283,,6100,6216,,20980,20192,
02.04.2020 18:00 - 02.04.2020 18:15,5412,5848,,6165,6208,,21075,20219,
02.04.2020 18:15 - 02.04.2020 18:30,4184,4482,,6187,6187,,21064,20086,
02.04.2020 18:30 - 02.04.2020 18:45,3057,3238,,6168,6159,,21063,20024,
02.04.2020 18:45 - 02.04.2020 19:00,2070,2164,,6150,6129,,21060,19969,
02.04.2020 19:00 - 02.04.2020 19:15,1268,1309,,6166,6100,,21097,19990,
02.04.2020 19:15 - 02.04.2020 19:30,717,727,,6134,6043,,21178,20054,
02.04.2020 19:30 - 02.04.2020 19:45,363,359,,6095,6021,,21350,20262,
02.04.2020 19:45 - 02.04.2020 20:00,54,57,,6061,5958,,21602,20540,
02.04.2020 20:00 - 02.04.2020 20:15,1,1,,6025,5897,,21894,20817,
02.04.2020 20:15 - 02.04.2020 20:30,0,0,,6025,5894,,22125,21061,
02.04.2020 20:30 - 02.04.2020 20:45,0,0,,6024,5884,,22317,21280,
02.04.2020 20:45 - 02.04.2020 21:00,0,0,,6019,5871,,22521,21480,
02.04.2020 21:00 - 02.04.2020 21:15,0,0,,6015,5863,,22733,21653,
02.04.2020 21:15 - 02.04.2020 21:30,0,0,,6017,5865,,22944,21792,
02.04.2020 21:30 - 02.04.2020 21:45,0,0,,6036,5909,,23210,21889,
02.04.2020 21:45 - 02.04.2020 22:00,0,0,,6018,5905,,23432,21983,
02.04.2020 22:00 - 02.04.2020 22:15,0,0,,6057,5954,,23280,21718,
02.04.2020 22:15 - 02.04.2020 22:30,0,0,,6044,5971,,23436,21878,
02.04.2020 22:30 - 02.04.2020 22:45,0,0,,6022,5985,,23585,22034,
02.04.2020 22:45 - 02.04.2020 23:00,0,0,,6016,5995,,23682,22176,
02.04.2020 23:00 - 02.04.2020 23:15,0,0,,6009,6029,,23773,22385,
02.04.2020 23:15 - 02.04.2020 23:30,0,0,,6023,6051,,23775,22389,
02.04.2020 23:30 - 02.04.2020 23:45,0,0,,6041,6070,,23782,22384,
02.04.2020 23:45 - 03.04.2020 00:00,0,0,,6059,6093,,23748,22384,
03.04.2020 00:00 - 03.04.2020 00:15,0,0,,6096,6579,,22280,22876,
03.04.2020 00:15 - 03.04.2020 00:30,0,0,,6101,6633,,22274,23203,
03.04.2020 00:30 - 03.04.2020 00:45,0,0,,6109,6537,,22259,23156,
03.04.2020 00:45 - 03.04.2020 01:00,0,0,,6115,6483,,22247,23244,
03.04.2020 01:00 - 03.04.2020 01:15,0,0,,6126,6498,,22222,23245,
03.04.2020 01:15 - 03.04.2020 01:30,0,0,,6131,6524,,22156,23282,
03.04.2020 01:30 - 03.04.2020 01:45,0,0,,6136,6547,,22044,23144,
03.04.2020 01:45 - 03.04.2020 02:00,0,0,,6141,6541,,21919,22950,
03.04.2020 02:00 - 03.04.2020 02:15,0,0,,6143,6523,,21760,22902,
03.04.2020 02:15 - 03.04.2020 02:30,0,0,,6148,6453,,21570,22517,
03.04.2020 02:30 - 03.04.2020 02:45,0,0,,6150,6362,,21383,22286,
03.04.2020 02:45 - 03.04.2020 03:00,0,0,,6157,6229,,21186,22177,
03.04.2020 03:00 - 03.04.2020 03:15,0,0,,6161,6285,,20990,22031,
03.04.2020 03:15 - 03.04.2020 03:30,0,0,,6232,6235,,20837,21709,
03.04.2020 03:30 - 03.04.2020 03:45,0,0,,6236,6239,,20627,21397,
03.04.2020 03:45 - 03.04.2020 04:00,0,0,,6238,6134,,20411,21120,
03.04.2020 04:00 - 03.04.2020 04:15,0,0,,6265,6124,,20226,20619,
03.04.2020 04:15 - 03.04.2020 04:30,0,0,,6258,6099,,20017,20230,
03.04.2020 04:30 - 03.04.2020 04:45,0,0,,6247,6110,,19798,19905,
03.04.2020 04:45 - 03.04.2020 05:00,0,0,,6238,6102,,19573,19674,
03.04.2020 05:00 - 03.04.2020 05:15,0,0,,6226,6071,,19327,19390,
03.04.2020 05:15 - 03.04.2020 05:30,0,0,,6205,6046,,19030,19092,
03.04.2020 05:30 - 03.04.2020 05:45,0,0,,6182,6028,,18745,18705,
03.04.2020 05:45 - 03.04.2020 06:00,0,0,,6157,6003,,18464,18405,
03.04.2020 06:00 - 03.04.2020 06:15,0,0,,6057,5972,,18481,18231,
03.04.2020 06:15 - 03.04.2020 06:30,0,0,,6020,5918,,18189,17907,
03.04.2020 06:30 - 03.04.2020 06:45,5,0,,5976,5874,,17874,17346,
03.04.2020 06:45 - 03.04.2020 07:00,64,57,,5933,5813,,17562,17305,
03.04.2020 07:00 - 03.04.2020 07:15,415,321,,5895,5781,,17247,16950,
03.04.2020 07:15 - 03.04.2020 07:30,882,793,,5844,5660,,16888,16376,
03.04.2020 07:30 - 03.04.2020 07:45,1552,1481,,5785,5670,,16491,16004,
03.04.2020 07:45 - 03.04.2020 08:00,2358,2350,,5726,5578,,16010,15553,
03.04.2020 08:00 - 03.04.2020 08:15,3282,3343,,5669,5486,,15557,15151,
03.04.2020 08:15 - 03.04.2020 08:30,4364,4531,,5599,5386,,15198,14754,
03.04.2020 08:30 - 03.04.2020 08:45,5509,5799,,5534,5278,,14886,14314,
03.04.2020 08:45 - 03.04.2020 09:00,6686,7143,,5460,5175,,14604,14150,
03.04.2020 09:00 - 03.04.2020 09:15,7870,8524,,5386,5067,,14505,13995,
03.04.2020 09:15 - 03.04.2020 09:30,9056,9867,,5294,4957,,14450,13909,
03.04.2020 09:30 - 03.04.2020 09:45,10230,11185,,5193,4851,,14511,13939,
03.04.2020 09:45 - 03.04.2020 10:00,11352,12493,,5102,4740,,14589,13986,
03.04.2020 10:00 - 03.04.2020 10:15,12392,13754,,5007,4635,,14688,14060,
03.04.2020 10:15 - 03.04.2020 10:30,13339,14848,,4920,4675,,14765,14064,
03.04.2020 10:30 - 03.04.2020 10:45,14157,15865,,4831,4570,,14853,14057,
03.04.2020 10:45 - 03.04.2020 11:00,14855,16737,,4724,4471,,14943,14040,
03.04.2020 11:00 - 03.04.2020 11:15,15452,17495,,4623,4368,,15015,14003,
03.04.2020 11:15 - 03.04.2020 11:30,15958,18161,,4557,4286,,15043,13999,
03.04.2020 11:30 - 03.04.2020 11:45,16299,18654,,4488,4200,,15071,14024,
03.04.2020 11:45 - 03.04.2020 12:00,16545,18978,,4420,4117,,15093,14053,
03.04.2020 12:00 - 03.04.2020 12:15,16714,19195,,4355,4042,,15119,14072,
03.04.2020 12:15 - 03.04.2020 12:30,16811,19340,,4291,4001,,15199,14162,
03.04.2020 12:30 - 03.04.2020 12:45,16831,19371,,4228,3960,,15269,14245,
03.04.2020 12:45 - 03.04.2020 13:00,16786,19248,,4169,3926,,15332,14318,
03.04.2020 13:00 - 03.04.2020 13:15,16646,19049,,4108,3892,,15389,14402,
03.04.2020 13:15 - 03.04.2020 13:30,16426,18774,,4089,3870,,15422,14453,
03.04.2020 13:30 - 03.04.2020 13:45,16194,18416,,4065,3849,,15435,14499,
03.04.2020 13:45 - 03.04.2020 14:00,15933,17990,,4035,3832,,15464,14559,
03.04.2020 14:00 - 03.04.2020 14:15,15619,16918,,4009,3732,,15476,14665,
03.04.2020 14:15 - 03.04.2020 14:30,15337,16446,,3995,3723,,15448,14664,
03.04.2020 14:30 - 03.04.2020 14:45,14958,15887,,3986,3715,,15408,14666,
03.04.2020 14:45 - 03.04.2020 15:00,14549,15338,,3970,3709,,15372,14660,
03.04.2020 15:00 - 03.04.2020 15:15,14069,14737,,3964,3702,,15339,14607,
03.04.2020 15:15 - 03.04.2020 15:30,13540,14095,,3976,3683,,15286,14495,
03.04.2020 15:30 - 03.04.2020 15:45,12938,13409,,3989,3684,,15209,14370,
03.04.2020 15:45 - 03.04.2020 16:00,12305,12690,,4005,3683,,15129,14240,
03.04.2020 16:00 - 03.04.2020 16:15,11608,11935,,4017,3678,,15022,14101,
03.04.2020 16:15 - 03.04.2020 16:30,10841,11110,,4020,3668,,14786,13881,
03.04.2020 16:30 - 03.04.2020 16:45,10017,10231,,4039,3662,,14543,13640,
03.04.2020 16:45 - 03.04.2020 17:00,9138,9322,,4060,3654,,14299,13401,
03.04.2020 17:00 - 03.04.2020 17:15,8247,8374,,4075,3648,,14076,13138,
03.04.2020 17:15 - 03.04.2020 17:30,7314,7422,,4067,3635,,13628,12619,
03.04.2020 17:30 - 03.04.2020 17:45,6366,6442,,4055,3622,,13185,12116,
03.04.2020 17:45 - 03.04.2020 18:00,5410,5466,,4047,3599,,12739,11599,
03.04.2020 18:00 - 03.04.2020 18:15,4483,4508,,4029,3574,,12289,11078,
03.04.2020 18:15 - 03.04.2020 18:30,3558,3568,,3988,3557,,11768,10424,
03.04.2020 18:30 - 03.04.2020 18:45,2671,2665,,3940,3543,,11230,9802,
03.04.2020 18:45 - 03.04.2020 19:00,1860,1842,,3889,3527,,10664,9192,
03.04.2020 19:00 - 03.04.2020 19:15,1174,1159,,3845,3507,,10148,8619,
03.04.2020 19:15 - 03.04.2020 19:30,672,660,,3793,3469,,9676,8128,
03.04.2020 19:30 - 03.04.2020 19:45,350,333,,3741,3426,,9240,7730,
03.04.2020 19:45 - 03.04.2020 20:00,104,109,,3688,3370,,8829,7323,
03.04.2020 20:00 - 03.04.2020 20:15,2,2,,3641,3325,,8502,7003,
03.04.2020 20:15 - 03.04.2020 20:30,0,0,,3547,3247,,8195,6718,
03.04.2020 20:30 - 03.04.2020 20:45,0,0,,3452,3169,,7914,6438,
03.04.2020 20:45 - 03.04.2020 21:00,0,0,,3358,3081,,7634,6174,
03.04.2020 21:00 - 03.04.2020 21:15,0,0,,3258,3002,,7404,5963,
03.04.2020 21:15 - 03.04.2020 21:30,0,0,,3178,2900,,7190,5776,
03.04.2020 21:30 - 03.04.2020 21:45,0,0,,3097,2797,,7011,5651,
03.04.2020 21:45 - 03.04.2020 22:00,0,0,,3015,2698,,6832,5518,
03.04.2020 22:00 - 03.04.2020 22:15,0,0,,2972,2614,,6611,5313,
03.04.2020 22:15 - 03.04.2020 22:30,0,0,,2899,2537,,6474,5229,
03.04.2020 22:30 - 03.04.2020 22:45,0,0,,2817,2457,,6296,5149,
03.04.2020 22:45 - 03.04.2020 23:00,0,0,,2745,2387,,6164,5061,
03.04.2020 23:00 - 03.04.2020 23:15,0,0,,2680,2313,,6011,4985,
03.04.2020 23:15 - 03.04.2020 23:30,0,0,,2628,2244,,5888,4847,
03.04.2020 23:30 - 03.04.2020 23:45,0,0,,2574,2192,,5776,4757,
03.04.2020 23:45 - 04.04.2020 00:00,0,0,,2518,2139,,5666,4672,
04.04.2020 00:00 - 04.04.2020 00:15,0,0,,2282,1736,,4410,4307,
04.04.2020 00:15 - 04.04.2020 00:30,0,0,,2224,1680,,4362,4191,
04.04.2020 00:30 - 04.04.2020 00:45,0,0,,2173,1668,,4319,4211,
04.04.2020 00:45 - 04.04.2020 01:00,0,0,,2124,1720,,4279,4084,
04.04.2020 01:00 - 04.04.2020 01:15,0,0,,2077,1731,,4261,3963,
04.04.2020 01:15 - 04.04.2020 01:30,0,0,,2059,1727,,4262,3900,
04.04.2020 01:30 - 04.04.2020 01:45,0,0,,2040,1723,,4308,3918,
04.04.2020 01:45 - 04.04.2020 02:00,0,0,,2030,1706,,4358,3900,
04.04.2020 02:00 - 04.04.2020 02:15,0,0,,2024,1814,,4393,3995,
04.04.2020 02:15 - 04.04.2020 02:30,0,0,,2043,1947,,4429,4132,
04.04.2020 02:30 - 04.04.2020 02:45,0,0,,2066,2017,,4481,4213,
04.04.2020 02:45 - 04.04.2020 03:00,0,0,,2086,2114,,4493,4203,
04.04.2020 03:00 - 04.04.2020 03:15,0,0,,2115,2278,,4483,4159,
04.04.2020 03:15 - 04.04.2020 03:30,0,0,,2137,2407,,4450,4192,
04.04.2020 03:30 - 04.04.2020 03:45,0,0,,2155,2403,,4417,4320,
04.04.2020 03:45 - 04.04.2020 04:00,0,0,,2178,2480,,4375,4391,
04.04.2020 04:00 - 04.04.2020 04:15,0,0,,2200,2489,,4331,4534,
04.04.2020 04:15 - 04.04.2020 04:30,0,0,,2215,2469,,4271,4569,
04.04.2020 04:30 - 04.04.2020 04:45,0,0,,2237,2409,,4203,4660,
04.04.2020 04:45 - 04.04.2020 05:00,0,0,,2250,2494,,4130,4604,
04.04.2020 05:00 - 04.04.2020 05:15,0,0,,2277,2524,,4043,4499,
04.04.2020 05:15 - 04.04.2020 05:30,0,0,,2306,2657,,3955,4552,
04.04.2020 05:30 - 04.04.2020 05:45,0,0,,2335,2774,,3870,4715,
04.04.2020 05:45 - 04.04.2020 06:00,0,0,,2366,2869,,3782,4725,
04.04.2020 06:00 - 04.04.2020 06:15,0,0,,2389,2965,,3726,4715,
04.04.2020 06:15 - 04.04.2020 06:30,0,0,,2434,3015,,3642,4675,
04.04.2020 06:30 - 04.04.2020 06:45,10,1,,2479,3006,,3550,4709,
04.04.2020 06:45 - 04.04.2020 07:00,192,131,,2525,3028,,3465,4663,
04.04.2020 07:00 - 04.04.2020 07:15,583,429,,2569,3015,,3376,4635,
04.04.2020 07:15 - 04.04.2020 07:30,1241,1028,,2632,2979,,3264,4403,
04.04.2020 07:30 - 04.04.2020 07:45,2193,1915,,2694,3042,,3117,4320,
04.04.2020 07:45 - 04.04.2020 08:00,3369,3078,,2755,3155,,2934,4222,
04.04.2020 08:00 - 04.04.2020 08:15,4718,4458,,2806,3290,,2683,4088,
04.04.2020 08:15 - 04.04.2020 08:30,6270,5993,,2838,3383,,2434,3934,
04.04.2020 08:30 - 04.04.2020 08:45,7930,7635,,2866,3470,,2190,3733,
04.04.2020 08:45 - 04.04.2020 09:00,9643,9372,,2895,3557,,1953,3514,
04.04.2020 09:00 - 04.04.2020 09:15,11352,11127,,2922,3638,,1815,3350,
04.04.2020 09:15 - 04.04.2020 09:30,13070,12879,,2951,3690,,1644,3151,
04.04.2020 09:30 - 04.04.2020 09:45,14740,14607,,2979,3741,,1522,2960,
04.04.2020 09:45 - 04.04.2020 10:00,16334,16294,,3003,3790,,1431,2833,
04.04.2020 10:00 - 04.04.2020 10:15,17815,17883,,3032,3836,,1352,2729,
04.04.2020 10:15 - 04.04.2020 10:30,19153,19305,,3040,3869,,1348,2736,
04.04.2020 10:30 - 04.04.2020 10:45,20338,20604,,3059,3900,,1335,2749,
04.04.2020 10:45 - 04.04.2020 11:00,21358,21722,,3077,3939,,1333,2775,
04.04.2020 11:00 - 04.04.2020 11:15,22235,22696,,3088,3976,,1348,2815,
04.04.2020 11:15 - 04.04.2020 11:30,22960,23566,,3088,3990,,1382,2886,
04.04.2020 11:30 - 04.04.2020 11:45,23482,24255,,3086,4010,,1418,2952,
04.04.2020 11:45 - 04.04.2020 12:00,23897,24696,,3085,4027,,1462,3026,
04.04.2020 12:00 - 04.04.2020 12:15,24225,25018,,3083,4041,,1499,3091,
04.04.2020 12:15 - 04.04.2020 12:30,24441,25248,,3077,4063,,1522,3109,
04.04.2020 12:30 - 04.04.2020 12:45,24559,25364,,3070,4087,,1551,3123,
04.04.2020 12:45 - 04.04.2020 13:00,24607,25420,,3059,4113,,1566,3103,
04.04.2020 13:00 - 04.04.2020 13:15,24576,25386,,3044,4132,,1576,3077,
04.04.2020 13:15 - 04.04.2020 13:30,24453,25295,,3010,4110,,1590,3051,
04.04.2020 13:30 - 04.04.2020 13:45,24262,25136,,2980,4085,,1595,3016,
04.04.2020 13:45 - 04.04.2020 14:00,24021,24906,,2946,4059,,1607,2956,
04.04.2020 14:00 - 04.04.2020 14:15,23688,24399,,2911,3998,,1602,2881,
04.04.2020 14:15 - 04.04.2020 14:30,23315,23934,,2857,3925,,1579,2842,
04.04.2020 14:30 - 04.04.2020 14:45,22835,23389,,2805,3852,,1545,2805,
04.04.2020 14:45 - 04.04.2020 15:00,22202,22761,,2754,3780,,1506,2761,
04.04.2020 15:00 - 04.04.2020 15:15,21472,22027,,2700,3708,,1460,2715,
04.04.2020 15:15 - 04.04.2020 15:30,20645,21203,,2628,3601,,1418,2657,
04.04.2020 15:30 - 04.04.2020 15:45,19733,20297,,2559,3493,,1370,2606,
04.04.2020 15:45 - 04.04.2020 16:00,18770,19311,,2494,3390,,1328,2561,
04.04.2020 16:00 - 04.04.2020 16:15,17732,18245,,2426,3283,,1284,2517,
04.04.2020 16:15 - 04.04.2020 16:30,16590,17092,,2338,3160,,1218,2457,
04.04.2020 16:30 - 04.04.2020 16:45,15331,15892,,2250,3037,,1149,2398,
04.04.2020 16:45 - 04.04.2020 17:00,13993,14566,,2164,2915,,1078,2327,
04.04.2020 17:00 - 04.04.2020 17:15,12602,13177,,2070,2792,,1020,2255,
04.04.2020 17:15 - 04.04.2020 17:30,11114,11657,,1974,2652,,976,2195,
04.04.2020 17:30 - 04.04.2020 17:45,9590,10066,,1874,2511,,938,2136,
04.04.2020 17:45 - 04.04.2020 18:00,8061,8456,,1774,2374,,905,2085,
04.04.2020 18:00 - 04.04.2020 18:15,6563,6869,,1682,2245,,875,2027,
04.04.2020 18:15 - 04.04.2020 18:30,5103,5322,,1590,2132,,952,2054,
04.04.2020 18:30 - 04.04.2020 18:45,3765,3899,,1504,2024,,1042,2102,
04.04.2020 18:45 - 04.04.2020 19:00,2600,2665,,1418,1922,,1136,2146,
04.04.2020 19:00 - 04.04.2020 19:15,1637,1641,,1340,1826,,1268,2250,
04.04.2020 19:15 - 04.04.2020 19:30,950,930,,1291,1764,,1457,2407,
04.04.2020 19:30 - 04.04.2020 19:45,491,470,,1239,1708,,1736,2651,
04.04.2020 19:45 - 04.04.2020 20:00,145,145,,1191,1648,,2037,2929,
04.04.2020 20:00 - 04.04.2020 20:15,5,5,,1153,1595,,2440,3281,
04.04.2020 20:15 - 04.04.2020 20:30,0,0,,1148,1555,,2898,3702,
04.04.2020 20:30 - 04.04.2020 20:45,0,0,,1151,1515,,3343,4139,
04.04.2020 20:45 - 04.04.2020 21:00,0,0,,1159,1487,,3810,4588,
04.04.2020 21:00 - 04.04.2020 21:15,0,0,,1180,1481,,4313,5059,
04.04.2020 21:15 - 04.04.2020 21:30,0,0,,1247,1528,,4836,5535,
04.04.2020 21:30 - 04.04.2020 21:45,0,0,,1317,1584,,5362,6025,
04.04.2020 21:45 - 04.04.2020 22:00,0,0,,1385,1642,,5870,6508,
04.04.2020 22:00 - 04.04.2020 22:15,0,0,,1474,1733,,6386,7020,
04.04.2020 22:15 - 04.04.2020 22:30,0,0,,1591,1847,,6839,7537,
04.04.2020 22:30 - 04.04.2020 22:45,0,0,,1735,1966,,7386,8039,
04.04.2020 22:45 - 04.04.2020 23:00,0,0,,1864,2086,,7867,8530,
04.04.2020 23:00 - 04.04.2020 23:15,0,0,,1989,2205,,8305,9018,
04.04.2020 23:15 - 04.04.2020 23:30,0,0,,2155,2419,,8661,9668,
04.04.2020 23:30 - 04.04.2020 23:45,0,0,,2344,2606,,9101,10206,
04.04.2020 23:45 - 05.04.2020 00:00,0,0,,2510,2762,,9509,10765,
05.04.2020 00:00 - 05.04.2020 00:15,0,0,,2775,2308,,12775,12447,
05.04.2020 00:15 - 05.04.2020 00:30,0,0,,2937,2492,,13280,12833,
05.04.2020 00:30 - 05.04.2020 00:45,0,0,,3103,2630,,13758,13276,
05.04.2020 00:45 - 05.04.2020 01:00,0,0,,3252,2821,,14166,13648,
05.04.2020 01:00 - 05.04.2020 01:15,0,0,,3387,2980,,14553,13978,
05.04.2020 01:15 - 05.04.2020 01:30,0,0,,3449,3039,,14790,14265,
05.04.2020 01:30 - 05.04.2020 01:45,0,0,,3512,3044,,14968,14597,
05.04.2020 01:45 - 05.04.2020 02:00,0,0,,3581,3276,,15081,14810,
05.04.2020 02:00 - 05.04.2020 02:15,0,0,,3641,3343,,15079,15008,
05.04.2020 02:15 - 05.04.2020 02:30,0,0,,3654,3361,,15119,15277,
05.04.2020 02:30 - 05.04.2020 02:45,0,0,,3669,3358,,15134,15409,
05.04.2020 02:45 - 05.04.2020 03:00,0,0,,3660,3459,,15162,15729,
05.04.2020 03:00 - 05.04.2020 03:15,0,0,,3639,3540,,15171,15816,
05.04.2020 03:15 - 05.04.2020 03:30,0,0,,3614,3621,,15153,15902,
05.04.2020 03:30 - 05.04.2020 03:45,0,0,,3586,3671,,15126,15924,
05.04.2020 03:45 - 05.04.2020 04:00,0,0,,3554,3699,,15094,15824,
05.04.2020 04:00 - 05.04.2020 04:15,0,0,,3520,3678,,15051,15911,
05.04.2020 04:15 - 05.04.2020 04:30,0,0,,3526,3683,,15012,16116,
05.04.2020 04:30 - 05.04.2020 04:45,0,0,,3532,3687,,14969,16172,
05.04.2020 04:45 - 05.04.2020 05:00,0,0,,3530,3734,,14899,16081,
05.04.2020 05:00 - 05.04.2020 05:15,0,0,,3535,3729,,14819,16206,
05.04.2020 05:15 - 05.04.2020 05:30,0,0,,3534,3696,,14853,16375,
05.04.2020 05:30 - 05.04.2020 05:45,0,0,,3539,3671,,14880,16511,
05.04.2020 05:45 - 05.04.2020 06:00,0,0,,3538,3635,,14886,16587,
05.04.2020 06:00 - 05.04.2020 06:15,0,0,,3501,3587,,15067,16893,
05.04.2020 06:15 - 05.04.2020 06:30,0,0,,3479,3520,,15187,17200,
05.04.2020 06:30 - 05.04.2020 06:45,18,3,,3457,3571,,15294,17168,
05.04.2020 06:45 - 05.04.2020 07:00,248,260,,3434,3580,,15432,17514,
05.04.2020 07:00 - 05.04.2020 07:15,735,704,,3414,3535,,15507,17546,
05.04.2020 07:15 - 05.04.2020 07:30,1559,1516,,3405,3591,,15481,17579,
05.04.2020 07:30 - 05.04.2020 07:45,2780,2688,,3376,3656,,15314,17405,
05.04.2020 07:45 - 05.04.2020 08:00,4281,4144,,3366,3735,,15061,17223,
05.04.2020 08:00 - 05.04.2020 08:15,5974,5868,,3353,3782,,14423,16677,
05.04.2020 08:15 - 05.04.2020 08:30,7842,7723,,3356,3825,,13538,15865,
05.04.2020 08:30 - 05.04.2020 08:45,9856,9699,,3356,3872,,12655,14991,
05.04.2020 08:45 - 05.04.2020 09:00,11963,11766,,3352,3925,,11525,13762,
05.04.2020 09:00 - 05.04.2020 09:15,14048,13817,,3355,3977,,10486,12727,
05.04.2020 09:15 - 05.04.2020 09:30,16109,15842,,3377,3997,,9460,11598,
05.04.2020 09:30 - 05.04.2020 09:45,18107,17807,,3387,4019,,8512,10527,
05.04.2020 09:45 - 05.04.2020 10:00,19979,19637,,3397,4039,,7996,9968,
05.04.2020 10:00 - 05.04.2020 10:15,21720,21370,,3406,4059,,7552,9507,
05.04.2020 10:15 - 05.04.2020 10:30,23334,23003,,3428,4089,,7545,9615,
05.04.2020 10:30 - 05.04.2020 10:45,24809,24487,,3445,4118,,7562,9744,
05.04.2020 10:45 - 05.04.2020 11:00,26124,25778,,3465,4147,,7815,10080,
05.04.2020 11:00 - 05.04.2020 11:15,27306,26958,,3484,4173,,8096,10477,
05.04.2020 11:15 - 05.04.2020 11:30,28307,27973,,3511,4206,,8419,10971,
05.04.2020 11:30 - 05.04.2020 11:45,29120,28841,,3544,4237,,8729,11485,
