,Price (EUR),Volume (MW)
count,33596676.0,33596676.0
mean,36.184244432693205,1.8634021324014345
std,28.04541781769305,2.361050309423539
min,-5999.0,0.1
25%,25.0,0.4
50%,36.0,1.0
75%,47.39,2.6
max,7999.0,301.0
